id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label
519839,4,3,5,3,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>4,Cuisine=>5,Economic=>2",15,3,5,None,Dubai
519839,4,3,3,4,Partner,"Skyscrapers=>3,Sport=>5,Art and Music=>6,Carnival=>4,Cuisine=>2,Economic=>1",25,3,3,None,Rio de Janeiro
519839,4,3,3,2,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",5,1,2,None,New York City
519839,4,3,4,2,"Partner,Friends,Siblings","Skyscrapers=>2,Sport=>3,Art and Music=>5,Carnival=>1,Cuisine=>6,Economic=>4",10,3,4,None,Paris
392479,3,4,2,1,"Friends,Co-worker","Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",24,4,6,An economic city divided by class and based on oil. Close to tradition but a tourist trap.,Dubai
392479,2,3,3,4,Friends,"Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>6,Cuisine=>3,Economic=>2",25,2,4,"A tropical, festive place with a lot of community spirit.",Rio de Janeiro
392479,4,3,2,2,"Partner,Co-worker","Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",5,9,10,"Dark, grey, rainy, and cold.Â ",New York City
392479,5,4,4,2,Partner,"Skyscrapers=>2,Sport=>4,Art and Music=>5,Carnival=>1,Cuisine=>6,Economic=>3",5,1,5,"Romantic, cultural, and whimsical.Â ",Paris
520926,4,3,3,2,Co-worker,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>4,Cuisine=>1,Economic=>5",29,4,3,"""Money can't buy happiness"".",Dubai
520926,3,2,2,4,"Partner,Friends","Skyscrapers=>2,Sport=>6,Art and Music=>6,Carnival=>6,Cuisine=>4,Economic=>3",28,2,3,"""Life is to be enjoyed while it lasts"".",Rio de Janeiro
520926,5,4,2,3,"Friends,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>2,Cuisine=>3,Economic=>6",-1,4,9,Economic prosperity is the route to fulfilment.,New York City
520926,4,3,4,3,"Partner,Friends,Siblings","Skyscrapers=>2,Sport=>4,Art and Music=>5,Carnival=>4,Cuisine=>4,Economic=>2",-3,2,4,When in Rome dine like the Romans.,Paris
519605,4,2,4,4,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",20,5,10,I'm on top of the world,Dubai
519605,5,2,2,5,"Partner,Friends,Siblings","Skyscrapers=>1,Sport=>6,Art and Music=>4,Carnival=>5,Cuisine=>3,Economic=>2",25,3,20,Life is better at the beach,Rio de Janeiro
519605,5,5,2,3,"Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>5,Carnival=>4,Cuisine=>3,Economic=>2",0,2,30,The city that never sleeps,New York City
519605,5,2,4,3,Partner,"Skyscrapers=>3,Sport=>2,Art and Music=>6,Carnival=>4,Cuisine=>5,Economic=>1",5,2,30,The city of love,Paris
495724,5,3,4,4,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>5,Carnival=>5,Cuisine=>3,Economic=>6",23,3,5,"""Work hard until Dubai is cheaper for you""",Dubai
495724,3,2,2,3,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>4,Sport=>6,Art and Music=>5,Carnival=>4,Cuisine=>4,Economic=>4",30,3,5,"""Enjoy your life to the fullest""",Rio de Janeiro
495724,5,3,4,4,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>4,Cuisine=>2,Economic=>6",0,2,3,"""Work Work Work""",New York City
495724,5,4,4,4,Partner,"Skyscrapers=>6,Sport=>5,Art and Music=>5,Carnival=>4,Cuisine=>3,Economic=>6",10,3,5,"""Paris is always a good idea""",Paris
516927,5,4,3,1,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>4,Cuisine=>1,Economic=>4",25,3,4,the tallest tower in the world is the burj khalifa,Dubai
516927,4,5,3,5,"Friends,Siblings","Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>6,Cuisine=>3,Economic=>2",25,1,3,Samba de brasilÂ ,Rio de Janeiro
516927,5,4,5,2,"Friends,Siblings,Co-worker","Skyscrapers=>5,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>6",-5,10,10,concrete jungle where dreams are made of,New York City
516927,5,2,5,3,Partner,"Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>3,Cuisine=>5,Economic=>2",0,1,2,french the language of love,Paris
493969,5,5,4,4,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>6,Economic=>6",25,30,10,"""Habibi come to Dubai""",Dubai
493969,3,2,3,4,Friends,"Skyscrapers=>1,Sport=>5,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>1",30,3,5,"""pele""",Rio de Janeiro
493969,4,4,4,3,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>5,Carnival=>5,Cuisine=>5,Economic=>6",-7,25,9,"""New york! concrete jungle where dreams are made of""",New York City
493969,5,4,5,5,"Partner,Siblings","Skyscrapers=>3,Sport=>3,Art and Music=>6,Carnival=>2,Cuisine=>3,Economic=>4",5,5,5,"When good Americans die, they go to Paris.",Paris
